Date,Year,Observer 1,Oberver 2,Observer 3,Lek,Temperature,Wind Speed ,Percent Cloud Cover,Mist or Fog,Precipitation ,Time Observation Started,Time Observation Concluded,Maximum # of Males 0-15 Minutes,Maximum # of Males 15-30 Minutes,Maximum # of Males 30-45 Minutes,Maximum # of Males 45-60 Minutes,Maximum # of Males 60-75 Minutes,Maximum # of Males 75-90 Minutes,Maximum # of Males 90-105 Minutes,Maximum # of Males 105-120 Minutes,Maximum # of Females 0-15 Minutes,Maximum # of Females 15-30 Minutes,Maximum # of Females 30-45 Minutes,Maximum # of Females 45-60 Minutes,Maximum # of Females 60-75 Minutes,Maximum # of Females 75-90 Minutes,Maximum # of Females 90-105 Minutes,Maximum # of Females 105-120 Minutes,Maximum # of Sex Unknown 0-15 Minutes,Maximum # of Sex Unknown 15-30 Minutes,Maximum # of Sex Unknown 30-45 Minutes,Maximum # of Sex Unknown 45-60 Minutes,Maximum # of Sex Unknown 60-75 Minutes,Maximum #  of Sex Unknown 75-90 Minutes,Maximum # of Sex Unknown 90-105 Minutes,Maximum # of Sex Unknown 105-120 Minutes,Peak Male Attendance,Peak Female Attendance,Peak Sex Unknown Attendance,Audial Greater Sage-grouse Observation,Audial Sharp-tailed Grouse Observations,Audial Unknown Grouse Observations,Coyotes,Northern Harrier,Golden Eagle,Buteo species,Other,Specify Other,Strategic Annual Lek Monitoring Survey
Date,Année,Observateur 1,Observateur 2,Observateur 3,Lek,Température,Vitesse du vent,Pourcentage de la couverture nuageuse,Brume ou brouillard,Précipitation,Heure du début de l’observation ,Heure de la fin de l’observation,Nombre maximal de mâles 0-15 minutes ,Nombre maximal de mâles 15-30 minutes,Nombre maximal de mâles 30-45 minutes,Nombre maximal de mâles 45-60 minutes,Nombre maximal de mâles 60-75 minutes,Nombre maximal de mâles 75-90 minutes,Nombre maximal de mâles 90-105 minutes,Nombre maximal de mâles 105-120 minutes,Nombre maximal de femelles 0-15 minutes,Nombre maximal de femelles 15-30 minutes,Nombre maximal de femelles 30-45 minutes,Nombre maximal de femelles 45-60 minutes,Nombre maximal de femelles 60-75 minutes,Nombre maximal de femelles 75-90 minutes,Nombre maximal de femelles 90-105 minutes,Nombre maximal de femelles 105-120 minutes,Nombre maximal d’individus de sexe inconnu 0-15 minutes,Nombre maximal d’individus de sexe inconnu 15-30 minutes,Nombre maximal d’individus de sexe inconnu 30-45 minutes,Nombre maximal d’individus de sexe inconnu 45-60 minutes,Nombre maximal d’individus de sexe inconnu 60-75 minutes,Nombre maximal d’individus de sexe inconnu 75-90 minutes,Nombre maximal d’individus de sexe inconnu 90-105 minutes,Nombre maximal d’individus de sexe inconnu 105-120 minutes,Fréquentation maximale des mâles ,Fréquentation maximale des femelles,Fréquentation maximale des individus de sexe inconnu,Observation sonore de tétras des armoises,Observation sonore de tétras à queue fine,Observation sonore de tétras inconnu,Coyotes,Busard Saint-Martin,Aigle royal,Espèces de buses,Autres,Précisez autres ,Surveillance stratégique annuelle des leks
19/04/2008,2008,Pat Fargey,Chris Reed,,Snake Pit,,,,,,5:45,6:15,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,,,,,
20/03/2008,2008,Colin Schmidt,,,Dixon Y, -5 to -8,,,,,7:18,8:03,16,17,0,14,15,17,15,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,,,,,,,,,,
20/03/2008,2008,Rob Sissons,,,Police Coulee,-5 to -8 ,,,,,6:30,8:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
20/03/2008,2008,Pat Fargey,Rae-Anne Hanna,Ashly Wruth,Snake Pit,-5 to -9,,,,,6:40,7:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
28/03/2008,2008,Rae Ann Hannah,,,Dixon Y,,,,,,6:35,8:00,13,17,1,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,17,0,0,,,,,,,,,,
03/04/2009,2009,Colin Schmidt,,,Dixon Y,,,,,,6:45,9:00,10,11,11,11,11,11,11,12,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,1,0,,,,,,,,,,
03/04/2009,2009,Robert Sissons,,,Police Coulee,0,,,,,6:15,6:30,0,0,,,,,,,0,0,,,,,,,0,0,,,,,,,0,0,0,,,,,,,,,,
09/04/2009,2009,Colin Schmidt,Helen Trefry,Medea Courtanau,Dixon Y,,,5,,,6:10,8:25,12,12,12,12,12,12,12,12,5,6,5,6,6,1,1,1,0,0,0,0,0,0,0,0,12,6,0,,,,,,,,,,
09/04/2009,2009,Robert Sissons,,,Police Coulee,0,,,,,6:05,6:15,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
10/04/2009,2009,Pat Fargey,Krista Fink,Ryan Jeffries,Snake Pit,,light breeze,,,,6:00,6:30,1,1,1,,,,,,0,4,0,,,,,,0,0,0,,,,,,1,4,0,,,,,,,,,,
17/04/2009,2009,Colin Schmidt,Ben Fargey,Lacy ?,Dixon Y,>0,,overcast,,,6:05,8:35,12,12,12,12,12,12,11,11,5,3,3,3,4,4,4,4,0,0,0,0,0,0,0,0,12,5,0,,,,,,,,,,
17/04/2009,2009,Ashley Wruth,,,Snake Pit,2,,,,,6:20,7:45,,1,1,1,1,1,1,,,3,3,3,3,3,3,,,0,0,0,0,0,0,,1,3,0,,,,,,,,,,
24/04/2009,2009,Colin Schmidt,Katherine Patterson,,Dixon Y,0,,light cloud,,,5:40,7:25,12,12,12,12,12,12,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,12,0,0,,,,,,,,,,
24/04/2009,2009,Ashley Wruth,,,Snake Pit,-2,,,,,5:25,7:00,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
24/04/2009,2009,Chris Reed,,,Fireguard,-1,,,,,7:30,7:41,,,,,,,,,,,,,,,,,,,,,,,,,28,0,0,,,,,,,,,,
25/04/2009,2009,Chris Reed,,,Fireguard,-1,,,,,6:05,7:30,,,,,,,,,,,,,,,,,,,,,,,,,28,3,1,,,,,,,,,,
26/04/2009,2009,Chris Reed,,,Fireguard,,,,,,5:43,6:47,,,,,,,,,,,,,,,,,,,,,,,,,11,0,0,,,,,,,,,,
27/04/2009,2009,Jason Tack,,,Fireguard,,,,,,6:15,6:15,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,,,,,,,,,,
07/04/2010,2010,Chris Reed,,,Fireguard,-1,no wind,clear,,,6:15,9:00,,,,,,,,,,,,,,,,,,,,,,,,,30,10,0,,,,,,,,,,
08/04/2010,2010,Chris Reed,,,Fireguard,-1,no wind ,cloudy ,,,6:15,8:10,27,27,23,,,,,,12,14,14,,,,,,,0,0,0,,,,,28,16,0,,,,,,,,,,
08/04/2010,2010,Chris Reed,,,Rock Creek,,,,,,8:15,8:15,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
09/04/2010,2010,Rob Sissons,,,Police Coulee,cool ,slight wind,,,,6:15,6:30,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,0,0,,,,,,,,,,
09/04/2010,2010,Krista Bekker,,,Snake Pit ,,,,,,5:45,6:30,1,1,1,0,,,,,0,0,0,0,,,,,0,0,0,0,,,,,1,0,0,,,,,,,,,,
09/04/2010,2010,Chris Reed,Pat Fargey,,Fireguard,-2,no wind,clear,,,5:55,7:05,27,,,,,,,,14,,,,,,,,0,,,,,,,,27,14,0,,,,,,,,,,
10/04/2010,2010,Chris Reed,Pat Fargey,,Fireguard,0,calm,clear,,,6:00,6:50,,,,,,,,,,,,,,,,,,,,,,,,,32,15,0,,,,,,,,,,
11/04/2010,2010,Chris Reed,Pat Fargey,,Fireguard,-1,no wind,clear,,,6:10,7:17,,,,,,,,,,,,,,,,,,,,,,,,,29,13,0,,,,,,,,,,
12/04/2010,2010,Chris Reed,Pat Fargey,,Fireguard,-3,windy,,,,6:25,7:00,,,,,,,,,,,,,,,,,,,,,,,,,28,2,0,,,,,,,,,,
16/04/2010,2010,Krista Bekker,,,Police Coulee,,,,,,5:40,6:15,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,
16/04/2010,2010,Ashley Wruth,,,Snake Pit ,,,,,,6:00,6:30,0,0,,,,,,,0,0,,,,,,,0,0,,,,,,,0,0,0,,,,,,,,,,
16/04/2010,2010,Colin Schmidt,,,Dixon Y,0,calm ,,,,6:10,7:10,7,8,7,7,7,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,8,0,0,,,,,,,,,,
23/04/2010,2010,Krista Bekker,,,Snake Pit ,cool ,20-30,,,,5:45,6:00,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,0,0,,,,,,,,,,
23/04/2010,2010,Colin Schmidt,,,Dixon Y,11,light wind,cloudy ,,,6:00,6:30,8,10,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,10,0,0,,,,,,,,,,
02/05/2011,2011,Ashley Wruth,Kendall Sonmor,,Snake Pit,,,,,,5:00,6:15,3,3,4,4,2,2,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,4,0,0,,,,,,,,,,
05/05/2011,2011,Geoff Delves,,,Fireguard,-3,,,,,5:15,5:45,15,23,17,,,,,,0,0,0,,,,,,3,4,2,,,,,,23,0,4,,,,,,,,,,
06/05/2011,2011,Kendall Sonmor,,,Police Coulee,,,,,,5:00,6:00,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,
16/05/2011,2011,Geoff Delves,,,Fireguard,7,,,,,4:50,5:30,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,,,,,,,,,,
27/04/2011,2011,Pat Fargey,,,Dixon Y,,,,,,5:35,6:10,5,6,7,8,,,,,2,2,2,2,,,,,0,0,0,0,,,,,8,2,0,,,,,,,,,,
13/04/2012,2012,Heather Sauder,,,Rock Creek,2,,,,,5:52,7:00,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,
13/04/2012,2012,Ashley Wruth,,,Fireguard,2,,,,,5:15,6:51,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,
15/04/2012,2012,Pat Fargey,,,Snake Pit,2,,,,,7:05,7:35,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,
16/04/2012,2012,Heather Sauder,,,Rock Creek,-5,<2,,,,5:30,7:30,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,
16/04/2012,2012,Ashley Wruth,,,Fireguard,-3,<2,,,,5:15,7:54,,,,,,,,,,,,,,,,,,,,,,,,,13,2,,,,,,,,,,,
30/03/2012,2012,Ashley Wruth,,,Snake Pit,2, 3-7,,,,5:57,6:51,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,
03/05/2013,2013,Ashley Wruth,Ryan Peruniak,,Dixon Y,5,<2,Clear,,,5:15,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,
08/04/2013,2013,Laura James,,,Dixon Y,-12,10,40,,,6:05,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,
09/04/2013,2013,Ashley Wruth,Natasha Lloyd,,Rock Creek,5,,Sunny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2013,2013,Ashley Wruth,Natasha Lloyd,,Fireguard,5,,Sunny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/04/2013,2013,Ashley Wruth,Natasha Lloyd,,Dixon Y,-1,,,,,5:48,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,
19/04/2013,2013,Laura James,,,Dixon Y,-5,calm,85,,,5:40,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,,,,,,,,,,,
19/04/2013,2013,Michael Fitzsimmons,,,Snake Pit,-4,7,50,,,6:00,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,
26/04/2013,2013,Ashley Wruth,Dennis Morgan,,Snake Pit,0,calm,clear,,,5:45,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,
30/04/2013,2013,Ashley Wruth,Heather Sauder,,Rock Creek,-8,calm,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/04/2013,2013,Ashley Wruth,Heather Sauder,,Fireguard,-8,calm,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2014,2014,Mark Otway,,,McGowans,-5,1.3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
03/04/2014,2014,Chris Reed,,,Rock Creek,-2.4,1.3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
03/04/2014,2014,Heather Sauder,,,Fireguard,-10,1.3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
03/04/2014,2014,Mark Otway,,,McGowans,-1,2.1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
04/04/2014,2014,Heather Sauder,,,Snake Pit,-6,2.7,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
04/04/2014,2014,Laura James,,,Val Marie Pasture,-1.5,4.2,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
04/04/2014,2014,Krista Cairns,,,Police Coulee,-1,2.1,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
04/04/2014,2014,Adam Crosby,Jessica Martino,,Dixon Y,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,,
10/04/2014,2014,Brenda Peterson,,,McGowans,-3,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
10/04/2014,2014,Heather Sauder,Chris Reed,,Fireguard,1.4,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,0,,,,,,,,,,
11/04/2014,2014,Carolyn Gaudet,,,Walker,-4.5,1.7,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
11/04/2014,2014,Jeff Harder,Krista Cairns,,Dixon Y,-1.5,0.4,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,,,,,,,,,,
11/04/2014,2014,Heather Sauder,Heather Robinson,,Snake Pit,-3.5,1.3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
16/04/2014,2014,Heather Sauder,Mark Otway,,Fireguard,-2.2,2.3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,,,,,,,,,,
17/04/2014,2014,Carolyn Gaudet,Kira Hiltz,,Dixon Y,-3.1,2.9,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,,,,,,,,,,
17/04/2014,2014,Krista Cairns,NA,,Val Marie Pasture,-3,2.9,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
17/04/2014,2014,Heather Sauder,,,Police Coulee,-4,5.5,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
17/04/2014,2014,Colin Schmidt,,,Snake Pit,6,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
25/04/2014,2014,Michael Fitzsimmons,,,Snake Pit,4,0.6,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
25/04/2014,2014,Carolyn Gaudet,Kira Hiltz,,Dixon Y,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,,
27/03/2014,2014,Krista Cairns,,,Rock Creek,-6.4,2.5,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
27/03/2014,2014,Carolyn Gaudet,,,Fireguard,-8,2,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,,,,,,,,,,
27/03/2014,2014,Brenda Peterson,Miles Anderson,,McGowans,-14,1,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
28/03/2014,2014,Laura James,,,Snake Pit,-10,0.5,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
28/03/2014,2014,Mark Otway,,,Dixon Y,-9.9,0.9,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
28/03/2014,2014,Heather Sauder,,,Walker,-10,3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
02/04/2015,2015,Jessus Karst,Kelsey Van Dyke,Typhenn Brichieri,Fireguard,0,40,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,0,,,,,,,,,,
02/04/2015,2015,Heather Sauder,,,Rock Creek,0,40,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
03/04/2015,2015,Heather Sauder,Melina,"Bronwin, Jessus Karst, Calvin",Dixon Y,-5,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,,,,,,,,,,
03/04/2015,2015,Typhenn Brichieri,Lacey Hebert,NA,Snake Pit,-3,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
09/04/2015,2015,Chris Reed,,,Rock Creek,-2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
09/04/2015,2015,Laura Gardiner,Don McKinnon,"Ryan Fisher, Troy Wellicome",Fireguard,-7.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,0,,,,,,,,,,
10/04/2015,2015,Laura Gardiner,Ryan Fisher,"Troy Wellicome, Amber Kapchinske, Lorraine",Dixon Y,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,,,,,,,,,,
10/04/2015,2015,Chris Reed,Don McKinnon,,Snake Pit,0.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
16/04/2015,2015,Chris Reed,,,Rock Creek,-6.9,3.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,,
16/04/2015,2015,Mark Otway,Nathan Young,Justin Crowe,Fireguard,-7.6,2.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,0,,,,,,,,,,
17/04/2015,2015,Chris Reed,Nathan Young,,Dixon Y,0.5,1.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,,,,
17/04/2015,2015,Mark Otway,Justin Crowe,,Snake Pit,1.3,4.9,<5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
23/04/2015,2015,Mark Otway,Chris Reed,,Rock Creek,5.3,8.5,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
